timestamp(ms),SignalStdIFR,Count, SignalACIFR, SignalACIFRNAOFILT,SignalS> SignalACIFRNAOFILT,
"1713734871.738",,,,,"2237",
"1713735079.692",,,"2350",,,
"1713735079.697",,,"2352",,,
"1713735079.702",,,"2353",,,
"1713735079.709",,,"2354",,,
"1713735079.713",,,"2356",,,
"1713735079.72",,,"2357",,,
"1713735079.725","14.92","97",,,,
"1713735079.726",,,"2359",,,
"1713735079.73","15.08","98",,,,
"1713735079.731",,,"2361",,,
"1713735079.736","15.14","99","2361",,,
"1713735079.742","14","100","2361",,,
"1713735079.748","12.94","101",,,,
"1713735079.749",,,"2363",,,
"1713735079.753","12.68","102","2363",,,
"1713735079.759","12.54","103","2364",,,
"1713735079.765","12.87",,,,,
"1713735079.766",,"104","2365",,,
"1713735079.77","12.89",,,,,
"1713735079.771",,"105","2365",,,
"1713735079.776","13",,,,,
"1713735079.777",,"106","2366",,,
"1713735079.783","13.09","107","2367",,,
"1713735079.787","13.04","108",,,,
"1713735079.788",,,"2366",,,
"1713735079.793","13.09","109","2367","2344",,
"1713735079.799","13.35",,,"2349",,
"1713735079.8",,"110","2367",,,
"1713735079.804",,,,"2345",,
"1713735079.805","13.34","111","2367",,,
"1713735079.81","13.39",,,"2344",,
"1713735079.811",,"112","2368",,,
"1713735079.816","13.71","113",,"2346",,
"1713735079.817",,,"2369",,,
"1713735079.821",,,,"2332",,
"1713735079.822","13.75","114","2368",,,
"1713735079.827",,,,"2331",,
"1713735079.828","13.88","115","2369",,,
"1713735079.833","14.25","116",,"2329",,
"1713735079.834",,,"2370",,,
"1713735079.84","14.37","117","2369","2317",,
"1713735079.844",,,,"2315",,
"1713735079.845","14.42","118","2371",,,
"1713735079.85","14.61","119",,"2315",,
"1713735079.851",,,"2371",,,
"1713735079.857","14.64","120","2371","2313",,
"1713735079.861",,,,"2312",,
"1713735079.862","14.76","121","2373",,,
"1713735079.867","14.89",,,"2303",,
"1713735079.868",,"122","2373",,,
"1713735079.873",,,,"2301",,
"1713735079.874","14.81",,,,,
"1713735079.875",,"123","2373",,,
"1713735079.879","14.65","124","2374","2303",,
"1713735079.884",,,,"2301",,
"1713735079.885","14.54","125","2374",,,
"1713735079.89","14.35","126",,"2301",,
"1713735079.891",,,"2373",,,
"1713735079.896","14.14","127","2375","2311",,
"1713735079.902","14.13","128","2375","2301",,
"1713735079.907",,,,"2313",,
"1713735079.908","13.85","129",,,,
"1713735079.909",,,"2375",,,
"1713735079.913","13.82","130","2376","2314",,
"1713735079.919","13.8","131","2376","2303",,
"1713735079.924","13.5","132",,"2314",,
"1713735079.925",,,"2376",,,
"1713735079.931","13.45","133","2377","2319",,
"1713735079.936","13.45","134","2376","2313",,
"1713735079.941",,,,"2315",,
"1713735079.942","13.32","135","2376",,,
"1713735079.948","13.26","136","2378","2328",,
"1713735079.953","13.31","137","2377","2314",,
"1713735079.959","13.17","138","2378","2317",,
"1713735079.964",,,,"2330",,
"1713735079.965","13.12","139","2378",,,
"1713735079.97","13.09","140","2377","2317",,
"1713735079.976","12.87","141","2377","2326",,
"1713735079.981","12.9",,,"2331",,
"1713735079.983",,"142","2377",,,
"1713735079.987","12.86","143","2376","2318",,
"1713735079.993","12.62","144","2376","2327",,
"1713735079.998",,,,"2334",,
"1713735079.999","12.62","145","2376",,,
"1713735080.004","12.58","146","2374","2329",,
"1713735080.01","12.5","147","2373","2328",,
"1713735080.016","12.4","148","2371","2333",,
"1713735080.022","12.42","149","2368","2329",,
"1713735080.027","12.4","150","2365","2330",,
"1713735080.033","12.38","151","2363","2333",,
"1713735080.039","12.6","152","2358","2329",,
"1713735080.044",,,,"2328",,
"1713735080.045","12.83","153","2356",,,
"1713735080.05","12.84","154","2352","2329",,
"1713735080.056","13.1",,,"2328",,
"1713735080.057",,"155","2347",,,
"1713735080.062","13.3","156","2344","2330",,
"1713735080.067","13.51","157","2341","2330",,
"1713735080.073","13.81",,,"2331",,
"1713735080.074",,"158","2337",,,
"1713735080.079","14.09","159","2336","2332",,
"1713735080.085","14.32","160","2334","2331",,
"1713735080.091","14.55","161","2332","2331",,
"1713735080.096","14.69","162","2332","2335",,
"1713735080.102","14.77","163",,"2330",,
"1713735080.103",,,"2332",,,
"1713735080.107",,,,"2332",,
"1713735080.108","14.81","164","2333",,,
"1713735080.114","14.82","165","2334","2333",,
"1713735080.119","14.86","166","2336","2329",,
"1713735080.124",,,,"2329",,
"1713735080.125","14.85","167","2337",,,
"1713735080.131","14.81","168","2340","2332",,
"1713735080.136","14.8","169",,"2328",,
"1713735080.137",,,"2341",,,
"1713735080.142","14.76","170","2344","2330",,
"1713735080.147",,,,"2343",,
"1713735080.148","14.7","171",,,,
"1713735080.149",,,"2347",,,
"1713735080.153","14.74","172",,"2329",,
"1713735080.154",,,"2349",,,
"1713735080.159","14.69","173","2351","2329",,
"1713735080.164",,,,"2334",,
"1713735080.165","14.64",,,,,
"1713735080.167",,"174","2353",,,
"1713735080.17","14.61",,,"2329",,
"1713735080.171",,"175","2355",,,
"1713735080.176","14.54","176","2356","2329",,
"1713735080.181",,,,"2342",,
"1713735080.182","14.57","177",,,,
"1713735080.183",,,"2359",,,
"1713735080.187","14.58","178",,"2328",,
"1713735080.188",,,"2360",,,
"1713735080.193","14.49","179","2362","2329",,
"1713735080.199","14.49","180","2362","2332",,
"1713735080.205","14.44",,,"2328",,
"1713735080.206",,"181","2363",,,
"1713735080.21","14.35","182",,"2329",,
"1713735080.211",,,"2364",,,
"1713735080.216","14.36",,,"2335",,
"1713735080.22",,"183",,,,
"1713735080.222",,,"2366",,,
"1713735080.236","14.34",,,"2330",,
"1713735080.237",,"184",,,,
"1713735080.238",,,"2366",,,
"1713735080.241","14.27",,,"2332",,
"1713735080.242","14.32","186","2367","2334",,
"1713735080.243","14.27","187","2368","2333",,
"1713735080.244",,,"2367",,,
"1713735080.245","14.23",,,"2335",,
"1713735080.246",,"188","2369",,,
"1713735080.25","14.3",,,"2344",,
"1713735080.251",,"189","2370",,,
"1713735080.259","14.36","190","2371","2334",,
"1713735080.262","14.38","191","2373","2344",,
"1713735080.267",,,,"2344",,
"1713735080.268","14.51","192","2375",,,
"1713735080.273","14.57",,,"2344",,
"1713735080.274",,"193","2375",,,
"1713735080.279",,,,"2346",,
"1713735080.28","14.63","194","2376",,,
"1713735080.286",,,,"2344",,
"1713735080.287","14.7","195","2376",,,
"1713735080.29",,,,"2349",,
"1713735080.291","14.7","196","2376",,,
"1713735080.297","14.76","197",,"2349",,
"1713735080.298",,,"2377",,,
"1713735080.301",,,,"2346",,
"1713735080.302","14.82","198","2378",,,
"1713735080.307","14.88",,,"2346",,
"1713735080.308",,"199","2377",,,
"1713735080.314","14.96",,,"2352",,
"1713735080.315",,"200","2378",,,
"1713735080.319","15.01","201",,"2346",,
"1713735080.32",,,"2377",,,
"1713735080.324",,,,"2348",,
"1713735080.325","15.06","202",,,,
"1713735080.326",,,"2377",,,
"1713735080.33",,,,"2359",,
"1713735080.332","15.13","203","2377",,,
"1713735080.336","15.13","204","2377","2346",,
"1713735080.341",,,,"2348",,
"1713735080.342","15.16","205","2377",,,
"1713735080.347","15.23",,,"2351",,
"1713735080.35",,"206","2377",,,
"1713735080.353","15.26","207","2377","2347",,
"1713735080.359","15.26","208","2377","2348",,
"1713735080.364","15.34","209",,"2360",,
"1713735080.365",,,"2377",,,
"1713735080.37","15.3","210","2375","2348",,
"1713735080.376","15.3","211","2375","2349",,
"1713735080.381","15.37","212","2375","2363",,
"1713735080.387","15.3","213",,"2349",,
"1713735080.388",,,"2374",,,
"1713735080.393","15.3","214","2374","2350",,
"1713735080.407",,,,"2363",,
"1713735080.408","15.35","215","2374",,,
"1713735080.409","15.28","216","2373","2350",,
"1713735080.41","15.28","217","2373","2350",,
"1713735080.416","15.35","218","2373","2361",,
"1713735080.421",,,,"2352",,
"1713735080.422","15.3","219","2372",,,
"1713735080.427","15.3","220","2373","2360",,
"1713735080.432",,,,"2362",,
"1713735080.433","15.3","221","2373",,,
"1713735080.438","15.24",,,"2360",,
"1713735080.439",,"222","2371",,,
"1713735080.444","15.2","223","2372","2360",,
"1713735080.45","15.21","224","2372","2361",,
"1713735080.455",,,,"2361",,
"1713735080.456","15.16","225","2371",,,
"1713735080.461","15.11","226","2372","2361",,
"1713735080.467","15.06","227","2372","2362",,
"1713735080.473","15","228","2370","2360",,
"1713735080.479","14.95","229","2371","2361",,
"1713735080.484","14.94","230","2371","2361",,
"1713735080.49","14.88","231","2370","2360",,
"1713735080.496","14.84","232","2372","2362",,
"1713735080.501",,,,"2360",,
"1713735080.502","14.82","233","2372",,,
"1713735080.507","14.81","234","2372","2360",,
"1713735080.513","14.82",,,"2363",,
"1713735080.514",,"235","2373",,,
"1713735080.519","14.79","236","2373","2358",,
"1713735080.524","14.83",,,"2361",,
"1713735080.525",,"237","2374",,,
"1713735080.53","14.84","238","2376","2364",,
"1713735080.536","14.81","239","2376","2350",,
"1713735080.541",,,,"2351",,
"1713735080.542","14.86","240","2376",,,
"1713735080.547",,,,"2362",,
"1713735080.548","14.96","241","2378",,,
"1713735080.553","14.95",,,"2350",,
"1713735080.554",,"242","2378",,,
"1713735080.559","14.99","243","2378","2349",,
"1713735080.564","15.07",,,"2360",,
"1713735080.565",,"244","2378",,,
"1713735080.571","15.06","245","2378","2347",,
"1713735080.576","15.1","246","2378","2347",,
"1713735080.581",,,,"2350",,
"1713735080.582","15.17","247","2378",,,
"1713735080.587","15.17","248",,"2331",,
"1713735080.588",,,"2378",,,
"1713735080.593","15.07","249","2378","2331",,
"1713735080.599","15.04","250","2378","2332",,
"1713735080.604",,,,"2318",,
"1713735080.606","14.98","251","2377",,,
"1713735080.61","14.68","252","2377","2316",,
"1713735080.616","14.37","253","2378","2327",,
"1713735080.621",,,,"2314",,
"1713735080.622","14.21",,,,,
"1713735080.623",,"254","2377",,,
"1713735080.628","13.76",,,"2316",,
"1713735080.629",,"255","2378",,,
"1713735080.633","13.37",,,"2316",,
"1713735080.634",,"256","2378",,,
"1713735080.639","12.93","257","2378","2312",,
"1713735080.644",,,,"2313",,
"1713735080.645","12.31","258","2378",,,
"1713735080.65","11.71",,,"2315",,
"1713735080.651",,"259","2378",,,
"1713735080.656","11.09","260","2378","2315",,
"1713735080.662",,,,"2319",,
"1713735080.663","10.41","261","2378",,,
"1713735080.667","9.84",,,"2326",,
"1713735080.668",,"262",,,,
"1713735080.673","9.73","0",,"2326",,
"1713735080.679","10.93","0","2372","2330",,
"1713735080.684",,,,"2328",,
"1713735080.685","11.95","1","2366",,,
"1713735080.69","12.2","2","2363","2331",,
"1713735080.696","12.02","3","2361","2334",,
"1713735080.702",,,,"2334",,
"1713735080.703","11.88","4","2361",,,
"1713735080.707","11.75",,,"2333",,
"1713735080.708",,"5","2361",,,
"1713735080.713","11.77",,,"2346",,
"1713735080.714",,"6","2363",,,
"1713735080.719",,,,"2333",,
"1713735080.72","11.92","7","2365",,,
"1713735080.724",,,,"2335",,
"1713735080.725","11.89","8","2366",,,
"1713735080.73","11.95","9",,"2350",,
"1713735080.731",,,"2368",,,
"1713735080.736","12.09","10","2375","2344",,
"1713735080.741",,,,"2345",,
"1713735080.742","12.2","11","2383",,,
"1713735080.747","12.34","12",,"2361",,
"1713735080.748",,,"2388",,,
"1713735080.753","12.47","13","2390","2346",,
"1713735080.759","12.54","14","2392","2345",,
"1713735080.764",,,,"2359",,
"1713735080.765","12.65","15","2393",,,
"1713735080.77","12.67","16","2393","2346",,
"1713735080.777","12.65","17","2393","2347",,
"1713735080.781",,,,"2362",,
"1713735080.782","12.74","18","2393",,,
"1713735080.787","12.75",,,"2350",,
"1713735080.788",,"19","2391",,,
"1713735080.793",,,,"2351",,
"1713735080.794","12.73","20","2390",,,
"1713735080.799","12.72","21","2389","2363",,
"1713735080.804",,,,"2350",,
"1713735080.805","12.74","22","2386",,,
"1713735080.81","12.76","23",,"2351",,
"1713735080.811",,,"2384",,,
"1713735080.817","12.74","24","2381","2364",,
"1713735080.821",,,,"2360",,
"1713735080.822","12.83","25","2378",,,
"1713735080.827",,,,"2361",,
"1713735080.828","13.05","26",,,,
"1713735080.829",,,"2374",,,
"1713735080.833","13.12","27","2370","2366",,
"1713735080.839","13.38","28","2366","2361",,
"1713735080.844",,,,"2360",,
"1713735080.845","13.67","29","2362",,,
"1713735080.851","13.89","30","2359","2362",,
"1713735080.856","14.16","31","2356","2352",,
"1713735080.861",,,,"2361",,
"1713735080.862","14.43","32","2353",,,
"1713735080.867",,,,"2360",,
"1713735080.868","14.63","33",,,,
"1713735080.869",,,"2351",,,
"1713735080.873","14.87","34","2349","2362",,
"1713735080.879","15.09","35","2348","2363",,
"1713735080.884",,,,"2361",,
"1713735080.885","15.23","36","2347",,,
"1713735080.89","15.39","37","2347","2360",,
"1713735080.896","15.53","38","2348","2363",,
"1713735080.902","15.66","39",,"2359",,
"1713735080.903",,,"2348",,,
"1713735080.907","15.79","40",,"2359",,
"1713735080.908",,,"2348",,,
"1713735080.913","15.81","41","2350","2363",,
"1713735080.918",,,,"2359",,
"1713735080.919","15.91","42","2350",,,
"1713735080.925","15.92","43",,"2350",,
"1713735080.926",,,"2351",,,
"1713735080.93","15.93","44",,"2364",,
"1713735080.931",,,"2353",,,
"1713735080.936","15.91","45","2354","2350",,
"1713735080.941",,,,"2351",,
"1713735080.943","15.93","46","2355",,,
"1713735080.947","15.93",,,"2363",,
"1713735080.948",,"47","2357",,,
"1713735080.953","15.92","48","2358","2348",,
"1713735080.959","15.93",,,"2349",,
"1713735080.96",,"49",,,,
"1713735080.961",,,"2360",,,
"1713735080.964",,,,"2361",,
"1713735080.965","15.94","50","2362",,,
"1713735080.97","15.93","51",,"2349",,
"1713735080.971",,,"2363",,,
"1713735080.976","15.93","52","2364","2350",,
"1713735080.981",,,,"2363",,
"1713735080.982","15.95","53","2366",,,
"1713735080.987","15.93","54",,"2349",,
"1713735080.988",,,"2366",,,
"1713735080.993","15.93","55","2368","2349",,
"1713735080.999",,,,"2360",,
"1713735081","15.94","56","2369",,,
"1713735081.004",,,,"2348",,
"1713735081.005","15.93","57","2369",,,
"1713735081.01","15.93","58","2371","2351",,
"1713735081.017","15.96","59","2372","2362",,
"1713735081.021",,,,"2348",,
"1713735081.022","15.94","60","2372",,,
"1713735081.027","15.95",,,"2349",,
"1713735081.028",,"61","2374",,,
"1713735081.033",,,,"2352",,
"1713735081.035","15.99","62","2375",,,
"1713735081.039","16.01","63","2375","2351",,
"1713735081.044","16.02",,,"2350",,
"1713735081.045",,"64","2376",,,
"1713735081.05","16.06","65",,"2359",,
"1713735081.051",,,"2377",,,
"1713735081.056","16.07","66","2377","2350",,
"1713735081.061",,,,"2352",,
"1713735081.062","16.08","67","2378",,,
"1713735081.067","16.11",,,"2360",,
"1713735081.068",,"68","2378",,,
"1713735081.074","16.12","69","2377","2359",,
"1713735081.079","16.12","70","2378","2361",,
"1713735081.084",,,,"2360",,
"1713735081.085","16.13","71","2378",,,
"1713735081.091","16.15","72","2377","2362",,
"1713735081.096",,,,"2363",,
"1713735081.097","16.16","73","2378",,,
"1713735081.102","16.15","74","2377","2361",,
"1713735081.107",,,,"2360",,
"1713735081.108","16.15","75",,,,
"1713735081.109",,,"2377",,,
"1713735081.113","16.16","76","2378","2365",,
"1713735081.118",,,,"2361",,
"1713735081.119","16.14","77","2378",,,
"1713735081.124","16.13",,,"2359",,
"1713735081.125",,"78",,,,
"1713735081.126",,,"2378",,,
"1713735081.13","16.15","79","2378","2364",,
"1713735081.136","16.13","80","2378","2359",,
"1713735081.141",,,,"2359",,
"1713735081.142","16.13","81","2378",,,
"1713735081.148","16.16","82","2378","2363",,
"1713735081.153","16.15","83","2378","2350",,
"1713735081.159","16.14","84","2378","2352",,
"1713735081.165",,,,"2364",,
"1713735081.166","16.17","85","2378",,,
"1713735081.17","16.14","86","2377","2360",,
"1713735081.176","16.13","87","2376","2359",,
"1713735081.181",,,,"2366",,
"1713735081.182","16.15",,,,,
"1713735081.183",,"88","2376",,,
"1713735081.187","16.11","89","2375","2361",,
"1713735081.193","16.1","90","2375","2360",,
"1713735081.199","16.12","91","2375","2365",,
"1713735081.204",,,,"2363",,
"1713735081.205","16.09","92","2373",,,
"1713735081.21","16.06","93","2374","2360",,
"1713735081.216","16.08","94","2374","2364",,
"1713735081.221",,,,"2360",,
"1713735081.222","16.04","95","2372",,,
"1713735081.227","16.03",,,"2359",,
"1713735081.228",,"96","2373",,,
"1713735081.233","16.04","97","2374","2363",,
"1713735081.239",,,,"2330",,
"1713735081.24","16.01","98","2373",,,
"1713735081.244","15.85",,,"2297",,
"1713735081.245",,"99","2374",,,
"1713735081.25","14.83","100","2374","2300",,
"1713735081.256",,,,"2318",,
"1713735081.257","13.82","101","2373",,,
"1713735081.261",,,,"2345",,
"1713735081.262","13.33","102","2374",,,
"1713735081.267","13.32","103",,"2361",,
"1713735081.268",,,"2374",,,
"1713735081.273","13.31","104","2374","2365",,
"1713735081.279","13.29","105","2375","2377",,
"1713735081.284",,,,"2376",,
"1713735081.285","13.12","106","2375",,,
"1713735081.29",,,,"2376",,
"1713735081.291","12.97","107",,,,
"1713735081.293",,,"2375",,,
"1713735081.296","12.82","108","2377","2380",,
"1713735081.301",,,,"2375",,
"1713735081.302","12.59","109","2377",,,
"1713735081.307","12.45","110","2377","2377",,
"1713735081.314","12.3","111","2379","2379",,
"1713735081.318",,,,"2375",,
"1713735081.319","12.07","112","2379",,,
"1713735081.324",,,,"2375",,
"1713735081.325","11.93","113","2379",,,
"1713735081.331","11.8","114","2381","2378",,
"1713735081.336","11.58","115","2381","2366",,
"1713735081.341",,,,"2367",,
"1713735081.342","11.56","116","2381",,,
"1713735081.347",,,,"2377",,
"1713735081.369","11.54","117",,,,
"1713735081.37","11.33","118","2382","2363",,
"1713735081.371","11.32","119","2382","2363",,
"1713735081.372","11.48","120","2383","2365",,
"1713735081.375",,,,"2351",,
"1713735081.376","11.44","121","2382",,,
"1713735081.378",,,,"2347",,
"1713735081.379","11.46","122","2382",,,
"1713735081.382","11.51",,,"2360",,
"1713735081.383",,"123",,,,
"1713735081.384",,,"2382",,,
"1713735081.387","11.51",,,"2342",,
"1713735081.388",,"124","2381",,,
"1713735081.393","11.48","125",,"2334",,
"1713735081.394",,,"2381",,,
